trackName,artistName,external_urls,spotify_id,album,popularity,duration_ms,track_number,album_artwork,artists_involved,genre,release_date,genres
Like or Like Like,Miniature Tigers,https://open.spotify.com/track/1OrD9RkuBnoNrrURFap9wi,1OrD9RkuBnoNrrURFap9wi,Tell It to the Volcano,61.0,158653.0,2.0,https://i.scdn.co/image/ab67616d0000b2739af255bdcf2257e6ed159125,['Miniature Tigers'],,2009-09-22,['nyc indie rock']
Introduction to the Snow,Miracle Musical,https://open.spotify.com/track/7qLs0IyUn6TrqgMzQ33SdH,7qLs0IyUn6TrqgMzQ33SdH,Hawaii: Part II,54.0,101007.0,1.0,https://i.scdn.co/image/ab67616d0000b273b3d0bf02a5fb2f676c748432,['Miracle Musical'],,2012-12-12,['pov: indie']
Kissin U,Miranda Cosgrove,https://open.spotify.com/track/3pt4BDnaMo2vznoVSv7b2y,3pt4BDnaMo2vznoVSv7b2y,Sparks Fly (Deluxe Version),48.0,199693.0,1.0,https://i.scdn.co/image/ab67616d0000b27395d041cc3b3d42ef8e259e9a,['Miranda Cosgrove'],,2010,['post-teen pop']
SUPERBLOOM,MisterWives,https://open.spotify.com/track/2HvtedoEeymVWrBPyAMNwZ,2HvtedoEeymVWrBPyAMNwZ,SUPERBLOOM,52.0,213546.0,19.0,https://i.scdn.co/image/ab67616d0000b2733fb680ecc0b23b6883f255de,['MisterWives'],,2020-07-24,"['indie poptimism', 'modern rock', 'nyc pop', 'shimmer pop']"
ミライどんなだろう (feat. 初音ミク),Mitchie M,https://open.spotify.com/track/5Yi76YNCI6gav37aKqZugz,5Yi76YNCI6gav37aKqZugz,ミライどんなだろう,38.0,209999.0,1.0,https://i.scdn.co/image/ab67616d0000b2736b88d8ff8d7bf0e43fe6b818,"['Mitchie M', 'Hatsune Miku']",,2023-10-14,['vocaloid']
愛Dee,Mitchie M,https://open.spotify.com/track/1MytGyxmiRweA6GmXsMJ3A,1MytGyxmiRweA6GmXsMJ3A,グレイテスト・アイドル,36.0,288026.0,3.0,https://i.scdn.co/image/ab67616d0000b273188e780d58353498f25c148f,"['Mitchie M', 'Hatsune Miku', 'Megurine Luka']",,2013-11-06,['vocaloid']
アゲアゲアゲイン,Mitchie M,https://open.spotify.com/track/27Jj60JmDXAqheRZ1XRBeG,27Jj60JmDXAqheRZ1XRBeG,グレイテスト・アイドル,39.0,222240.0,2.0,https://i.scdn.co/image/ab67616d0000b273188e780d58353498f25c148f,"['Mitchie M', 'Hatsune Miku']",,2013-11-06,['vocaloid']
ビバハピ,Mitchie M,https://open.spotify.com/track/4P0f1HTaA2UwtLJGryNgJZ,4P0f1HTaA2UwtLJGryNgJZ,グレイテスト・アイドル,46.0,215840.0,4.0,https://i.scdn.co/image/ab67616d0000b273188e780d58353498f25c148f,"['Mitchie M', 'Hatsune Miku']",,2013-11-06,['vocaloid']
Freely Tomorrow,Mitchie M,https://open.spotify.com/track/2JgyM0s5hTINiVaqJNMkVq,2JgyM0s5hTINiVaqJNMkVq,グレイテスト・アイドル,44.0,240866.0,1.0,https://i.scdn.co/image/ab67616d0000b273188e780d58353498f25c148f,"['Mitchie M', 'Hatsune Miku']",,2013-11-06,['vocaloid']
大江戸ジュリアナイト feat. 初音ミク with KAITO,Mitchie M,https://open.spotify.com/track/3XjkTRYjPs8JjRvG4jDPVm,3XjkTRYjPs8JjRvG4jDPVm,バーチャル・ポップスター,44.0,231560.0,1.0,https://i.scdn.co/image/ab67616d0000b273cc8841b723e1355ed445a4a6,"['Mitchie M', 'Hatsune Miku', 'KAITO']",,2019-11-06,['vocaloid']
"リングの熾天使 feat. 初音ミク, 鏡音リン, KAITO",Mitchie M,https://open.spotify.com/track/5JJhKM8F0VvH7slObOSoBV,5JJhKM8F0VvH7slObOSoBV,バーチャル・ポップスター,36.0,225186.0,4.0,https://i.scdn.co/image/ab67616d0000b273cc8841b723e1355ed445a4a6,"['Mitchie M', 'Hatsune Miku', 'KAITO', 'Kagamine Rin']",,2019-11-06,['vocaloid']
My Love Mine All Mine,Mitski,https://open.spotify.com/track/3vkCueOmm7xQDoJ17W1Pm3,3vkCueOmm7xQDoJ17W1Pm3,The Land Is Inhospitable and So Are We,88.0,137773.0,7.0,https://i.scdn.co/image/ab67616d0000b27334f21d3047d85440dfa37f10,['Mitski'],,2023-09-15,"['brooklyn indie', 'pov: indie']"
Strawberry Blond,Mitski,https://open.spotify.com/track/1EO9dn7V0ufwPHJngZThO5,1EO9dn7V0ufwPHJngZThO5,"Retired from Sad, New Career in Business",65.0,114277.0,3.0,https://i.scdn.co/image/ab67616d0000b27334b5e51adeea6f1aa2285ce3,['Mitski'],,2013-08-01,"['brooklyn indie', 'pov: indie']"
Washing Machine Heart,Mitski,https://open.spotify.com/track/3jjsRKEsF42ccXf8kWR3nu,3jjsRKEsF42ccXf8kWR3nu,Be the Cowboy,81.0,128198.0,12.0,https://i.scdn.co/image/ab67616d0000b273c428f67b4a9b7e1114dfc117,['Mitski'],,2018-08-17,"['brooklyn indie', 'pov: indie']"
Are You Looking Up,Mk.gee,https://open.spotify.com/track/1sWYVBg7ix2WAq43J9nY7E,1sWYVBg7ix2WAq43J9nY7E,Two Star & The Dream Police,65.0,166179.0,3.0,https://i.scdn.co/image/ab67616d0000b273173b8975e8a7820da5f1aeb6,['Mk.gee'],,2024-02-09,['experimental r&b']
Lady - Hear Me Tonight,Modjo,https://open.spotify.com/track/49X0LAl6faAusYq02PRAY6,49X0LAl6faAusYq02PRAY6,Modjo (Remastered),77.0,307153.0,3.0,https://i.scdn.co/image/ab67616d0000b27354c5c304064df85d61253ac7,['Modjo'],,2001,"['disco house', 'filter house']"
breathe it all in,Moira & Claire,https://open.spotify.com/track/3BKneThyrDre6gKZIVN1FL,3BKneThyrDre6gKZIVN1FL,i'm not usually this forward but...,14.0,54000.0,6.0,https://i.scdn.co/image/ab67616d0000b273538d96025958924f6c07e9ea,['Moira & Claire'],,2022-11-02,[]
霧雨,Moist,https://open.spotify.com/track/1yTpd7OTct8IR2JWs0qwUt,1yTpd7OTct8IR2JWs0qwUt,Lost,1.0,122009.0,19.0,https://i.scdn.co/image/ab67616d0000b273730358dc5dbc1a0e69b77d83,['Moist'],,2020-01-28,[]
"Oración (From ""Pokémon: The Rise of Darkrai"")",Moisés Nieto,https://open.spotify.com/track/4PtUFFoDzbuyK3y3BWaQYe,4PtUFFoDzbuyK3y3BWaQYe,"Piano Fables, Vol. 3",29.0,196304.0,1.0,https://i.scdn.co/image/ab67616d0000b2735917f039c814320c22e129df,['Moisés Nieto'],,2017-10-28,['otacore']
Big Love Ahead,Mon Rovîa,https://open.spotify.com/track/3RGfmaB407YxayMDaV2jlO,3RGfmaB407YxayMDaV2jlO,Big Love Ahead,56.0,108000.0,1.0,https://i.scdn.co/image/ab67616d0000b27377729a0b47c942ed59f67529,['Mon Rovîa'],,2023-01-26,[]
Garden Gate,Mon Rovîa,https://open.spotify.com/track/15qOqbllCBwNWVcLUc02ng,15qOqbllCBwNWVcLUc02ng,Act 1: The Wandering,50.0,119301.0,2.0,https://i.scdn.co/image/ab67616d0000b2739f6d9b747cea52a7da5bcc3b,['Mon Rovîa'],,2023-07-06,[]
